EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_NAME
1,Marilyn,Randolph,marilyn.randolph@example.com,(627)242-8202,2019-03-02,HR_REP,66065.6,4,HR
2,Mark,Doyle,mark.doyle@example.com,530-910-3290x4337,2025-05-26,OP_MANAGER,54762.17,10,Sales
3,Michael,Hoffman,michael.hoffman@example.com,278-200-3496,2019-06-10,OP_MANAGER,86202.07,7,IT
4,Austin,Dunn,austin.dunn@example.com,042-879-1295,2021-11-07,MK_MAN,60044.91,10,Sales
5,Jonathan,Hudson,jonathan.hudson@example.com,4605448374,2020-09-15,SA_REP,97424.6,8,Marketing
6,Kimberly,Moore,kimberly.moore@example.com,585-371-9592x6170,2020-11-19,SA_REP,77272.68,9,Operations
7,Jennifer,Daniels,jennifer.daniels@example.com,813.064.9305x99007,2018-11-18,FI_ACCOUNT,104686.21,7,Sales
8,Christine,Saunders,christine.saunders@example.com,202-088-2364,2021-06-03,OP_MANAGER,70838.03,7,Marketing
9,Laura,Moreno,laura.moreno@example.com,(416)845-1190x81821,2023-11-30,HR_REP,102098.08,3,Marketing
10,Jeremiah,Harrison,jeremiah.harrison@example.com,(029)092-3608,2018-05-03,FI_ACCOUNT,111578.53,2,Finance
11,Maria,Williams,maria.williams@example.com,001-424-871-9182x99347,2021-08-10,IT_PROG,96797.61,7,Sales
12,Brandon,Davenport,brandon.davenport@example.com,001-689-249-7675x875,2023-11-07,SA_REP,115529.25,4,IT
13,Edward,Turner,edward.turner@example.com,1142721902,2019-06-03,MK_MAN,89219.17,9,Marketing
14,Laura,Reed,laura.reed@example.com,(398)694-4612x885,2025-07-09,IT_PROG,37601.5,1,Marketing
15,Michael,Arnold,michael.arnold@example.com,2852324796,2024-08-22,HR_REP,36312.18,6,Marketing
16,Christopher,Harper,christopher.harper@example.com,001-637-665-6258x934,2016-03-03,OP_MANAGER,76476.24,7,Sales
17,Todd,Hines,todd.hines@example.com,+1-721-359-4360,2024-09-10,OP_MANAGER,61498.77,6,Marketing
18,Chelsea,Ellis,chelsea.ellis@example.com,(129)400-2852,2022-11-24,IT_PROG,51943.07,4,Marketing
19,Connie,Smith,connie.smith@example.com,965-995-8173x22011,2016-08-17,HR_REP,94492.79,4,IT
20,Tyler,Williams,tyler.williams@example.com,087.207.9061,2024-04-10,IT_PROG,36026.52,7,Marketing
21,James,Johnson,james.johnson@example.com,419.402.2253x3748,2024-03-10,HR_REP,112292.2,10,Marketing
22,Bethany,Diaz,bethany.diaz@example.com,736.638.8607,2022-02-23,MK_MAN,70494.04,8,Operations
23,Brandon,James,brandon.james@example.com,+1-198-274-4269x50276,2016-03-18,IT_PROG,52033.46,4,Marketing
24,Mike,Johnson,mike.johnson@example.com,+1-816-034-0278,2015-08-05,OP_MANAGER,69233.78,1,HR
25,Tracy,Carpenter,tracy.carpenter@example.com,001-071-349-0208x91855,2023-05-10,OP_MANAGER,95894.29,3,Operations
26,Victoria,Carey,victoria.carey@example.com,+1-506-055-8381x78433,2022-11-28,HR_REP,57983.52,1,Marketing
27,Rhonda,Lee,rhonda.lee@example.com,6500063460,2020-07-09,IT_PROG,71328.89,10,Finance
28,Christina,Burnett,christina.burnett@example.com,246-890-1601x726,2024-08-20,SA_REP,106005.63,5,Finance
29,Johnny,Hensley,johnny.hensley@example.com,001-497-026-2243,2017-06-05,HR_REP,38411.59,2,Finance
30,Susan,Smith,susan.smith@example.com,164-415-9335x7950,2020-03-07,FI_ACCOUNT,40559.76,3,Sales
31,Sara,Reilly,sara.reilly@example.com,210-156-0570x558,2018-02-12,FI_ACCOUNT,57821.6,6,HR
32,Robert,Davis,robert.davis@example.com,(392)138-5960x729,2020-02-26,OP_MANAGER,53959.36,6,Operations
33,Kayla,Mcdaniel,kayla.mcdaniel@example.com,904.188.9513x155,2024-10-02,IT_PROG,59161.17,6,Marketing
34,Joseph,Jones,joseph.jones@example.com,+1-866-632-3048x8746,2024-11-19,OP_MANAGER,36353.01,8,Operations
35,Makayla,Joseph,makayla.joseph@example.com,142-499-8021x3910,2024-08-05,IT_PROG,75181.29,6,HR
36,Kelly,Perez,kelly.perez@example.com,282-465-2746,2023-06-11,SA_REP,52319.4,4,Sales
37,Mario,Pruitt,mario.pruitt@example.com,001-458-760-5758x27962,2024-09-13,FI_ACCOUNT,108912.29,2,Finance
38,Justin,Baker,justin.baker@example.com,(980)961-6399,2020-02-04,MK_MAN,69899.77,10,Finance
39,Tanya,Barr,tanya.barr@example.com,(284)404-6701x5141,2021-11-12,OP_MANAGER,39345.17,8,Sales
40,Colleen,Thompson,colleen.thompson@example.com,+1-367-919-7195x40153,2024-11-09,IT_PROG,37965.1,10,Operations
41,Daniel,Adams,daniel.adams@example.com,(135)283-6834x014,2024-01-09,OP_MANAGER,117932.89,10,IT
42,Michael,Green,michael.green@example.com,+1-390-263-4243x61606,2019-11-26,MK_MAN,92985.26,3,Finance
43,Sharon,Thompson,sharon.thompson@example.com,418-852-2086x922,2025-02-15,MK_MAN,114667.87,3,Finance
44,Hector,Smith,hector.smith@example.com,377.748.9448,2019-07-28,SA_REP,115112.75,3,Operations
45,Melissa,Novak,melissa.novak@example.com,435-998-0020x72107,2023-01-08,MK_MAN,79170.24,5,Operations
46,Mary,Mitchell,mary.mitchell@example.com,(879)393-1100x37890,2022-07-22,SA_REP,92511.02,4,Sales
47,John,Wilkins,john.wilkins@example.com,+1-246-277-0812,2018-08-12,IT_PROG,95042.36,2,Sales
48,Connie,Gonzales,connie.gonzales@example.com,859.083.9694,2015-12-16,SA_REP,94779.02,8,IT
49,Christopher,Gutierrez,christopher.gutierrez@example.com,001-945-098-7154,2015-08-08,FI_ACCOUNT,40679.37,6,Sales
50,Sharon,Johnson,sharon.johnson@example.com,001-398-534-6946x73001,2023-11-17,OP_MANAGER,42947.23,4,Marketing
